date,animal_id,bin_id,start_time,end_time,duration_sec,start_weight_kg,end_weight_kg,diet,intake_kg
2023-05-25,188463838,176,01:45:39,01:46:52,73,0.8,0.7,HEIFER,0.1
2023-05-25,187878252,88,01:47:11,01:49:00,109,0.9,0.7,HEIFER,0.2
2023-05-25,187878290,109,01:46:06,01:49:30,204,7.9,7.5,HEIFER,0.4
2023-05-25,187878274,170,01:49:01,01:49:39,38,0.6,0.6,HEIFER,0
2023-05-25,187878252,88,01:49:47,01:50:11,24,0.7,0.7,HEIFER,0
2023-05-25,187878290,110,01:50:30,01:51:29,59,5.7,5.6,HEIFER,0.1
2023-05-25,187878218,108,01:46:18,01:52:09,351,4.2,3.8,HEIFER,0.4
2023-05-25,188463838,176,01:53:26,01:53:56,30,0.7,0.7,HEIFER,0
2023-05-25,188463838,175,01:54:02,01:54:21,19,0.3,0.3,HEIFER,0
2023-05-25,187878173,165,01:55:36,01:55:43,7,0.8,0.8,HEIFER,0
2023-05-25,187878173,166,01:56:00,01:57:51,111,1.2,1,HEIFER,0.2
2023-05-25,187878218,109,01:57:20,01:58:32,72,7.5,7.4,HEIFER,0.1
2023-05-25,187878173,165,01:58:47,02:00:27,100,0.8,0.7,HEIFER,0.1
2023-05-25,187878218,109,01:58:39,02:01:11,152,7.4,7.2,HEIFER,0.2
2023-05-25,187878173,165,02:00:52,02:01:51,59,0.7,0.6,HEIFER,0.1
2023-05-25,187878290,110,01:58:54,02:02:07,193,5.6,5.3,HEIFER,0.3
2023-05-25,187878218,109,02:02:13,02:03:03,50,7.2,7.1,HEIFER,0.1
2023-05-25,187878173,165,02:04:12,02:04:40,28,0.6,0.6,HEIFER,0
2023-05-25,187878174,166,02:04:19,02:04:54,35,1,0.9,HEIFER,0.1
2023-05-25,187878218,110,02:03:52,02:05:27,95,5.3,5.2,HEIFER,0.1
2023-05-25,187878173,166,02:05:02,02:06:53,111,0.9,0.7,HEIFER,0.2
2023-05-25,187878290,109,02:03:10,02:08:03,293,7.1,6.7,HEIFER,0.4
2023-05-25,187878174,166,02:07:00,02:08:21,81,0.7,0.6,HEIFER,0.1
2023-05-25,187878224,87,02:08:53,02:09:07,14,0,0,HEIFER,0
2023-05-25,187878174,165,02:08:39,02:10:37,118,0.6,0.6,HEIFER,0
2023-05-25,188463817,165,02:10:43,02:10:51,8,0.6,0.6,HEIFER,0
2023-05-25,187878267,88,02:09:41,02:10:55,74,0.7,0.7,HEIFER,0
2023-05-25,187878290,108,02:08:53,02:11:45,172,3.8,3.5,HEIFER,0.3
2023-05-25,187878267,87,02:11:27,02:11:45,18,0,0,HEIFER,0
2023-05-25,188463839,110,02:05:36,02:12:29,413,5.2,4.6,HEIFER,0.6
2023-05-25,187878173,166,02:08:29,02:13:05,276,0.6,0.3,HEIFER,0.3
2023-05-25,187878290,109,02:13:10,02:14:20,70,6.7,6.5,HEIFER,0.2
2023-05-25,188463854,108,02:14:12,02:14:48,36,3.5,3.5,HEIFER,0
2023-05-25,187878290,109,02:15:11,02:15:43,32,6.5,6.4,HEIFER,0.1
2023-05-25,187878267,87,02:12:52,02:16:00,188,0,0,HEIFER,0
2023-05-25,187878224,88,02:15:50,02:16:14,24,0.6,0.6,HEIFER,0
2023-05-25,188463839,110,02:12:50,02:16:52,242,4.6,4.4,HEIFER,0.2
2023-05-25,188463817,166,02:17:13,02:17:39,26,0.3,0.3,HEIFER,0
2023-05-25,188463854,109,02:17:06,02:17:44,38,6.4,6.4,HEIFER,0
2023-05-25,187878134,92,02:16:57,02:17:53,56,0,0,HEIFER,0
2023-05-25,187878174,165,02:15:13,02:17:56,163,0.5,0.4,HEIFER,0.1
2023-05-25,188463817,165,02:18:11,02:18:45,34,0.4,0.4,HEIFER,0
2023-05-25,187878174,166,02:18:26,02:18:58,32,0.3,0.3,HEIFER,0
2023-05-25,188463839,108,02:17:13,02:19:46,153,3.5,3.3,HEIFER,0.2
2023-05-25,188463854,109,02:19:21,02:19:47,26,6.4,6.3,HEIFER,0.1
2023-05-25,187878134,91,02:18:06,02:20:27,141,0.4,0.3,HEIFER,0.1
2023-05-25,187878290,110,02:17:19,02:20:51,212,4.3,4,HEIFER,0.3
2023-05-25,188463839,109,02:20:25,02:21:41,76,6.3,6.1,HEIFER,0.2
2023-05-25,188463854,110,02:21:30,02:21:55,25,4,3.9,HEIFER,0.1
2023-05-25,188463817,165,02:22:25,02:22:31,6,0.4,0.4,HEIFER,0
2023-05-25,187878290,109,02:22:22,02:22:51,29,6.1,6,HEIFER,0.1
2023-05-25,188463854,110,02:22:51,02:24:35,104,3.9,3.7,HEIFER,0.2
2023-05-25,187878134,91,02:24:30,02:25:00,30,0.3,0.3,HEIFER,0
2023-05-25,188463854,110,02:25:06,02:25:28,22,3.7,3.7,HEIFER,0
2023-05-25,188463839,108,02:22:48,02:25:33,165,3.3,3,HEIFER,0.3
2023-05-25,187878267,88,02:19:57,02:26:13,376,0.6,0.2,HEIFER,0.4
2023-05-25,187878290,109,02:23:37,02:26:22,165,6,5.8,HEIFER,0.2
2023-05-25,188463854,110,02:25:46,02:26:56,70,3.7,3.6,HEIFER,0.1
2023-05-25,188463839,108,02:25:53,02:27:37,104,3,2.8,HEIFER,0.2
2023-05-25,187878228,171,02:27:47,02:27:59,12,0.3,0.3,HEIFER,0
2023-05-25,187878174,165,02:26:34,02:29:25,171,0.4,0.3,HEIFER,0.1
2023-05-25,187878267,87,02:28:02,02:29:29,87,0,-0.1,HEIFER,0.1
2023-05-25,187878290,108,02:27:59,02:30:43,164,2.8,2.6,HEIFER,0.2
2023-05-25,188463839,109,02:28:14,02:31:49,215,5.8,5.6,HEIFER,0.2
2023-05-25,188463839,110,02:32:13,02:33:00,47,3.6,3.5,HEIFER,0.1
2023-05-25,187878267,88,02:32:00,02:33:18,78,0.3,0.2,HEIFER,0.1
2023-05-25,187878290,109,02:31:58,02:33:55,117,5.6,5.3,HEIFER,0.3
2023-05-25,187878290,109,02:34:33,02:35:01,28,5.3,5.2,HEIFER,0.1
2023-05-25,188463839,110,02:33:14,02:35:58,164,3.5,3.2,HEIFER,0.3
2023-05-25,187878282,167,02:32:44,02:36:22,218,0.5,0.4,HEIFER,0.1
2023-05-25,187878173,165,02:32:57,02:37:06,249,0.3,0.1,HEIFER,0.2
2023-05-25,187878267,88,02:37:06,02:37:22,16,0.2,0.2,HEIFER,0
2023-05-25,187878155,108,02:32:40,02:38:06,326,2.6,2.2,HEIFER,0.4
2023-05-25,187878266,82,02:37:42,02:38:10,28,0.1,0.1,HEIFER,0
2023-05-25,188463839,109,02:36:53,02:38:37,104,5.2,5.1,HEIFER,0.1
2023-05-25,187878282,168,02:38:31,02:38:43,12,0,0,HEIFER,0
2023-05-25,187878290,110,02:36:04,02:38:49,165,3.2,3,HEIFER,0.2
2023-05-25,187878290,110,02:39:39,02:39:57,18,2.9,2.9,HEIFER,0
2023-05-25,188463839,108,02:39:17,02:40:50,93,2.2,2.1,HEIFER,0.1
2023-05-25,187878290,110,02:40:58,02:41:13,15,2.9,2.8,HEIFER,0.1
2023-05-25,187878236,147,02:41:30,02:41:46,16,0.1,0.1,HEIFER,0
2023-05-25,187878282,167,02:38:49,02:42:13,204,0.4,0.2,HEIFER,0.2
2023-05-25,188463839,108,02:41:40,02:42:30,50,2.1,2,HEIFER,0.1
2023-05-25,187878236,147,02:42:10,02:43:07,57,0.1,0.1,HEIFER,0
2023-05-25,187878282,168,02:42:33,02:43:12,39,0,0,HEIFER,0
2023-05-25,187878155,109,02:39:03,02:43:16,253,5.1,4.9,HEIFER,0.2
2023-05-25,187878155,110,02:43:31,02:43:38,7,2.8,2.8,HEIFER,0
2023-05-25,187878155,109,02:43:52,02:52:51,539,4.9,4.3,HEIFER,0.6
2023-05-25,187878155,110,02:53:32,02:57:21,229,2.8,2.5,HEIFER,0.3
2023-05-25,187878155,110,02:57:50,03:00:24,154,2.5,2.3,HEIFER,0.2
2023-05-25,187878155,110,03:00:33,03:04:44,251,2.3,2.1,HEIFER,0.2
2023-05-25,187878155,108,03:12:49,03:14:31,102,2,1.9,HEIFER,0.1
2023-05-25,187878155,110,03:20:36,03:24:31,235,2.1,1.8,HEIFER,0.3
2023-05-25,187878155,110,03:25:13,03:27:14,121,1.8,1.7,HEIFER,0.1
2023-05-25,187878155,109,03:27:48,03:29:33,105,4.3,4.1,HEIFER,0.2
2023-05-25,187878155,109,03:30:25,03:31:01,36,4.1,4,HEIFER,0.1
2023-05-25,187878155,109,03:31:48,03:34:15,147,4,3.8,HEIFER,0.2
2023-05-25,187878266,82,04:38:22,04:38:45,23,0.1,0.1,HEIFER,0
2023-05-25,187878293,84,04:53:25,04:55:51,146,2.1,1.9,HEIFER,0.2
2023-05-25,187878293,83,04:56:37,04:57:08,31,4.8,4.8,HEIFER,0
2023-05-25,187878293,83,04:58:00,05:00:19,139,4.7,4.6,HEIFER,0.1
2023-05-25,187878293,84,05:02:08,05:03:31,83,1.9,1.8,HEIFER,0.1
2023-05-25,187878293,84,05:04:08,05:04:34,26,1.8,1.7,HEIFER,0.1
2023-05-25,187878293,84,05:05:20,05:05:47,27,1.7,1.6,HEIFER,0.1
2023-05-25,187878293,84,05:06:47,05:07:07,20,1.6,1.5,HEIFER,0.1
2023-05-25,187878293,84,05:08:17,05:10:38,141,1.5,1.4,HEIFER,0.1
2023-05-25,187878272,176,05:17:08,05:18:59,111,0.7,0.6,HEIFER,0.1
2023-05-25,187878272,176,05:19:22,05:19:54,32,0.6,0.5,HEIFER,0.1
2023-05-25,187878253,170,05:19:41,05:21:48,127,0.6,0.4,HEIFER,0.2
2023-05-25,187878272,175,05:20:54,05:22:17,83,0.2,0.2,HEIFER,0
2023-05-25,187878253,169,05:23:13,05:24:45,92,0.1,0.1,HEIFER,0
2023-05-25,187878272,176,05:23:03,05:26:44,221,0.5,0.3,HEIFER,0.2
2023-05-25,187878253,170,05:34:36,05:35:17,41,0.4,0.3,HEIFER,0.1
2023-05-25,187878272,176,05:32:25,05:38:56,391,0.3,0.1,HEIFER,0.2
2023-05-25,187878213,86,05:49:07,05:49:35,28,0.8,0.8,HEIFER,0
2023-05-25,187878213,86,05:51:40,05:53:14,94,0.8,0.8,HEIFER,0
2023-05-25,187878213,86,05:57:03,05:57:39,36,0.7,0.7,HEIFER,0
2023-05-25,187878213,85,06:02:03,06:04:35,152,0.1,0,HEIFER,0.1
2023-05-25,187878213,86,06:12:53,06:13:31,38,0.7,0.7,HEIFER,0
2023-05-25,187878127,110,06:14:01,06:15:39,98,1.6,1.4,HEIFER,0.2
2023-05-25,187878213,85,06:15:48,06:15:54,6,0,0,HEIFER,0
2023-05-25,187878127,109,06:18:01,06:19:31,90,3.8,3.5,HEIFER,0.3
